# time,position
0.00000e+00,-7.19369e-01
1.00100e-02,-6.56149e-01
2.00200e-02,-6.14580e-01
3.00300e-02,-5.14448e-01
4.00400e-02,-4.59291e-01
5.00501e-02,-4.69243e-01
6.00601e-02,-3.53115e-01
7.00701e-02,-2.80527e-01
8.00801e-02,-2.36002e-01
9.00901e-02,-2.20455e-01
1.00100e-01,-1.45237e-01
1.10110e-01,-9.51124e-02
1.20120e-01,-5.41529e-04
1.30130e-01,7.16459e-02
1.40140e-01,8.03062e-02
1.50150e-01,1.28762e-01
1.60160e-01,2.17001e-01
1.70170e-01,2.55981e-01
1.80180e-01,3.08348e-01
1.90190e-01,3.92745e-01
2.00200e-01,3.57723e-01
2.10210e-01,4.28732e-01
2.20220e-01,5.32937e-01
2.30230e-01,5.09937e-01
2.40240e-01,5.14968e-01
2.50250e-01,5.87279e-01
2.60260e-01,6.20984e-01
2.70270e-01,6.37037e-01
2.80280e-01,6.32976e-01
2.90290e-01,6.76771e-01
3.00300e-01,7.10393e-01
3.10310e-01,6.19851e-01
3.20320e-01,6.47736e-01
3.30330e-01,6.67049e-01
3.40340e-01,6.11232e-01
3.50350e-01,6.57033e-01
3.60360e-01,5.93957e-01
3.70370e-01,6.47799e-01
3.80380e-01,6.21614e-01
3.90390e-01,5.84099e-01
4.00400e-01,6.25665e-01
4.10410e-01,5.29076e-01
4.20420e-01,5.23087e-01
4.30430e-01,4.70353e-01
4.40440e-01,4.75672e-01
4.50450e-01,4.40817e-01
4.60460e-01,4.18432e-01
4.70470e-01,3.60607e-01
4.80480e-01,2.94415e-01
4.90490e-01,2.93690e-01
5.00501e-01,2.82560e-01
5.10511e-01,2.13273e-01
5.20521e-01,1.78876e-01
5.30531e-01,9.84313e-02
5.40541e-01,4.62206e-02
5.50551e-01,4.14487e-02
5.60561e-01,-3.26995e-02
5.70571e-01,-5.52244e-02
5.80581e-01,-1.14354e-01
5.90591e-01,-1.18646e-01
6.00601e-01,-1.86830e-01
6.10611e-01,-1.75038e-01
6.20621e-01,-2.24485e-01
6.30631e-01,-2.40010e-01
6.40641e-01,-2.95898e-01
6.50651e-01,-3.58166e-01
6.60661e-01,-3.61794e-01
6.70671e-01,-3.42852e-01
6.80681e-01,-3.86348e-01
6.90691e-01,-3.93811e-01
7.00701e-01,-4.14442e-01
7.10711e-01,-5.12238e-01
7.20721e-01,-5.04593e-01
7.30731e-01,-4.99790e-01
7.40741e-01,-4.50117e-01
7.50751e-01,-4.93283e-01
7.60761e-01,-5.15090e-01
7.70771e-01,-5.19161e-01
7.80781e-01,-4.97433e-01
7.90791e-01,-4.76014e-01
8.00801e-01,-4.43875e-01
8.10811e-01,-4.49355e-01
8.20821e-01,-4.49592e-01
8.30831e-01,-4.09916e-01
8.40841e-01,-4.30984e-01
8.50851e-01,-3.88031e-01
8.60861e-01,-3.98725e-01
8.70871e-01,-3.24752e-01
8.80881e-01,-2.82795e-01
8.90891e-01,-2.95736e-01
9.00901e-01,-2.73502e-01
9.10911e-01,-2.39077e-01
9.20921e-01,-1.99813e-01
9.30931e-01,-1.87199e-01
9.40941e-01,-9.46944e-02
9.50951e-01,-1.33002e-01
9.60961e-01,-9.51375e-02
9.70971e-01,-6.98557e-02
9.80981e-01,-5.93730e-02
9.90991e-01,4.57473e-03
1.00100e+00,1.00823e-01
1.01101e+00,2.90857e-02
1.02102e+00,6.46502e-02
1.03103e+00,8.97343e-02
1.04104e+00,1.28949e-01
1.05105e+00,1.45390e-01
1.06106e+00,1.91413e-01
1.07107e+00,1.97189e-01
1.08108e+00,2.81509e-01
1.09109e+00,2.43006e-01
1.10110e+00,2.42518e-01
1.11111e+00,2.53815e-01
1.12112e+00,2.40654e-01
1.13113e+00,2.80767e-01
1.14114e+00,3.17343e-01
1.15115e+00,3.16775e-01
1.16116e+00,3.10515e-01
1.17117e+00,3.39219e-01
1.18118e+00,3.60665e-01
1.19119e+00,3.75575e-01
1.20120e+00,3.58134e-01
1.21121e+00,3.03047e-01
1.22122e+00,3.09184e-01
1.23123e+00,2.93069e-01
1.24124e+00,3.50143e-01
1.25125e+00,2.89450e-01
1.26126e+00,2.57218e-01
1.27127e+00,3.10128e-01
1.28128e+00,2.71243e-01
1.29129e+00,2.70183e-01
1.30130e+00,2.31120e-01
