# age (yr),T_eff (K),L (L_sun)
4.69136e+02,4.11091e+03,8.41910e+02
4.92377e+02,4.11345e+03,8.35431e+02
5.16735e+02,4.11655e+03,8.29140e+02
5.41638e+02,4.14211e+03,8.39611e+02
5.68128e+02,4.15304e+03,8.38494e+02
5.96247e+02,4.15675e+03,8.31420e+02
6.25704e+02,4.16019e+03,8.23876e+02
6.56556e+02,4.16396e+03,8.16336e+02
6.88872e+02,4.16771e+03,8.08524e+02
7.22903e+02,4.17138e+03,8.00367e+02
7.58602e+02,4.17515e+03,7.92026e+02
7.95979e+02,4.17901e+03,7.83521e+02
8.35091e+02,4.18296e+03,7.74842e+02
8.76340e+02,4.18740e+03,7.66243e+02
9.19496e+02,4.19195e+03,7.57494e+02
9.64710e+02,4.19621e+03,7.48310e+02
1.01225e+03,4.20054e+03,7.38933e+02
1.06199e+03,4.20548e+03,7.29779e+02
1.11425e+03,4.21037e+03,7.20351e+02
1.16906e+03,4.21513e+03,7.10642e+02
1.22646e+03,4.22009e+03,7.00897e+02
1.28668e+03,4.22501e+03,6.91044e+02
1.34992e+03,4.23051e+03,6.81253e+02
1.41622e+03,4.23620e+03,6.71403e+02
1.48572e+03,4.24168e+03,6.61273e+02
1.55858e+03,4.24720e+03,6.51016e+02
1.63500e+03,4.25337e+03,6.41019e+02
1.71513e+03,4.25951e+03,6.30862e+02
1.79913e+03,4.26534e+03,6.20415e+02
1.88720e+03,4.27166e+03,6.10145e+02
1.97951e+03,4.27796e+03,5.99768e+02
2.07633e+03,4.28413e+03,5.89249e+02
2.17794e+03,4.29105e+03,5.79050e+02
2.28440e+03,4.29767e+03,5.68632e+02
2.39597e+03,4.30449e+03,5.58272e+02
2.51286e+03,4.31142e+03,5.47938e+02
2.63559e+03,4.31850e+03,5.37637e+02
2.76418e+03,4.32550e+03,5.27280e+02
2.89886e+03,4.33278e+03,5.17059e+02
3.04021e+03,4.33988e+03,5.06753e+02
3.18831e+03,4.34751e+03,4.96702e+02
3.34355e+03,4.35531e+03,4.86740e+02
3.50634e+03,4.36270e+03,4.76704e+02
3.67690e+03,4.37017e+03,4.66810e+02
3.85577e+03,4.37832e+03,4.57163e+02
4.04321e+03,4.38618e+03,4.47399e+02
4.23959e+03,4.39405e+03,4.37764e+02
4.44559e+03,4.40204e+03,4.28232e+02
4.66116e+03,4.40981e+03,4.18643e+02
4.88751e+03,4.41800e+03,4.09394e+02
5.12462e+03,4.42636e+03,4.00238e+02
5.37296e+03,4.43487e+03,3.91230e+02
5.63345e+03,4.44323e+03,3.82247e+02
5.90634e+03,4.45121e+03,3.73256e+02
6.19243e+03,4.46039e+03,3.64745e+02
6.49207e+03,4.46888e+03,3.56150e+02
6.80627e+03,4.47750e+03,3.47711e+02
7.13562e+03,4.48624e+03,3.39414e+02
7.48071e+03,4.49489e+03,3.31221e+02
7.84226e+03,4.50361e+03,3.23157e+02
8.22128e+03,4.51263e+03,3.15326e+02
8.61841e+03,4.52151e+03,3.07588e+02
9.03478e+03,4.53101e+03,3.00141e+02
9.47086e+03,4.54002e+03,2.92650e+02
9.92785e+03,4.54876e+03,2.85271e+02
1.04069e+04,4.55761e+03,2.78060e+02
1.09091e+04,4.56717e+03,2.71148e+02
1.14353e+04,4.57641e+03,2.64297e+02
1.19866e+04,4.58521e+03,2.57487e+02
1.25647e+04,4.59469e+03,2.50962e+02
1.31702e+04,4.60378e+03,2.44455e+02
1.38048e+04,4.61277e+03,2.38105e+02
1.44701e+04,4.62208e+03,2.31966e+02
1.51674e+04,4.63146e+03,2.25979e+02
1.58983e+04,4.64088e+03,2.20145e+02
1.66642e+04,4.65004e+03,2.14409e+02
1.74666e+04,4.65893e+03,2.08761e+02
1.83081e+04,4.66831e+03,2.03352e+02
1.91901e+04,4.67736e+03,1.98063e+02
2.01152e+04,4.68687e+03,1.93013e+02
2.10846e+04,4.69548e+03,1.87996e+02
2.21020e+04,4.70482e+03,1.83273e+02
2.31689e+04,4.71356e+03,1.78661e+02
2.42877e+04,4.72181e+03,1.74163e+02
2.54632e+04,4.73095e+03,1.70047e+02
2.66964e+04,4.73884e+03,1.66001e+02
2.79914e+04,4.74697e+03,1.62233e+02
2.93510e+04,4.75478e+03,1.58702e+02
3.07799e+04,4.76191e+03,1.55384e+02
3.22805e+04,4.76864e+03,1.52279e+02
3.38577e+04,4.77471e+03,1.49409e+02
3.55133e+04,4.78074e+03,1.46771e+02
3.72522e+04,4.78606e+03,1.44314e+02
3.90795e+04,4.79208e+03,1.42105e+02
4.09982e+04,4.79718e+03,1.39930e+02
4.30132e+04,4.80215e+03,1.37870e+02
4.51259e+04,4.80726e+03,1.35798e+02
4.73394e+04,4.81223e+03,1.33663e+02
4.96587e+04,4.81802e+03,1.31512e+02
5.20876e+04,4.82394e+03,1.29202e+02
5.46297e+04,4.83013e+03,1.26684e+02
5.72873e+04,4.83757e+03,1.24001e+02
6.00603e+04,4.84607e+03,1.21113e+02
6.29503e+04,4.85460e+03,1.17850e+02
6.59593e+04,4.86407e+03,1.14352e+02
6.90949e+04,4.87515e+03,1.10738e+02
7.23493e+04,4.88719e+03,1.07080e+02
7.57501e+04,4.89876e+03,1.03462e+02
7.93160e+04,4.91040e+03,1.00010e+02
8.30557e+04,4.92229e+03,9.67278e+01
8.69740e+04,4.93379e+03,9.35604e+01
9.10857e+04,4.94563e+03,9.05756e+01
9.53933e+04,4.95694e+03,8.76852e+01
9.99085e+04,4.96817e+03,8.49199e+01
1.04642e+05,4.97977e+03,8.22965e+01
1.09609e+05,4.99112e+03,7.97999e+01
1.14814e+05,5.00221e+03,7.73878e+01
1.20274e+05,5.01363e+03,7.51148e+01
1.25997e+05,5.02468e+03,7.29216e+01
1.31994e+05,5.03558e+03,7.08192e+01
1.38287e+05,5.04695e+03,6.88280e+01
1.44874e+05,5.05865e+03,6.69129e+01
1.51778e+05,5.07006e+03,6.50740e+01
1.59022e+05,5.08142e+03,6.33198e+01
1.66615e+05,5.09304e+03,6.16603e+01
1.74581e+05,5.10497e+03,6.00934e+01
1.82936e+05,5.11704e+03,5.86098e+01
1.91693e+05,5.12885e+03,5.71889e+01
2.00882e+05,5.14050e+03,5.58364e+01
2.10525e+05,5.15499e+03,5.46725e+01
2.20629e+05,5.16658e+03,5.34573e+01
2.31234e+05,5.17977e+03,5.23791e+01
2.42357e+05,5.19301e+03,5.13741e+01
2.54029e+05,5.20620e+03,5.04417e+01
2.66268e+05,5.22029e+03,4.96203e+01
2.79113e+05,5.23468e+03,4.88899e+01
2.92588e+05,5.25120e+03,4.83190e+01
3.06718e+05,5.26725e+03,4.78187e+01
3.21533e+05,5.28381e+03,4.74403e+01
3.37061e+05,5.30113e+03,4.72069e+01
3.53328e+05,5.31985e+03,4.71591e+01
3.70330e+05,5.34092e+03,4.73464e+01
3.88087e+05,5.36310e+03,4.77613e+01
4.06542e+05,5.38869e+03,4.85162e+01
4.25707e+05,5.41486e+03,4.95799e+01
4.45437e+05,5.44362e+03,5.10885e+01
4.65527e+05,5.47701e+03,5.31616e+01
4.85952e+05,5.51340e+03,5.57518e+01
5.06707e+05,5.55412e+03,5.88006e+01
5.28083e+05,5.59851e+03,6.20806e+01
5.50210e+05,5.64726e+03,6.54751e+01
5.73230e+05,5.70010e+03,6.89237e+01
5.96655e+05,5.76004e+03,7.26365e+01
6.20310e+05,5.82709e+03,7.67402e+01
6.43989e+05,5.90358e+03,8.12700e+01
6.67321e+05,5.99154e+03,8.62803e+01
6.89977e+05,6.09368e+03,9.17338e+01
7.11138e+05,6.21706e+03,9.74385e+01
7.30728e+05,6.35985e+03,1.03277e+02
7.49148e+05,6.51587e+03,1.09364e+02
7.66684e+05,6.68252e+03,1.15745e+02
7.83767e+05,6.85645e+03,1.22562e+02
8.00482e+05,7.03720e+03,1.29850e+02
8.16858e+05,7.22479e+03,1.37627e+02
8.32919e+05,7.41933e+03,1.45906e+02
8.48682e+05,7.62104e+03,1.54694e+02
8.64173e+05,7.83014e+03,1.63991e+02
8.79412e+05,8.04690e+03,1.73793e+02
8.94424e+05,8.27161e+03,1.84093e+02
9.09293e+05,8.50463e+03,1.94844e+02
9.23998e+05,8.74629e+03,2.06040e+02
9.38549e+05,8.99686e+03,2.17678e+02
9.52989e+05,9.25676e+03,2.29706e+02
9.67298e+05,9.52629e+03,2.42120e+02
9.81519e+05,9.80581e+03,2.54887e+02
9.95734e+05,1.00959e+04,2.67897e+02
1.00998e+06,1.03969e+04,2.81069e+02
1.02427e+06,1.07093e+04,2.94297e+02
1.03865e+06,1.10334e+04,3.07572e+02
1.05310e+06,1.13694e+04,3.20857e+02
1.06764e+06,1.17179e+04,3.34088e+02
1.08244e+06,1.20795e+04,3.46945e+02
1.09765e+06,1.24551e+04,3.59103e+02
1.11344e+06,1.28453e+04,3.70194e+02
1.13034e+06,1.32512e+04,3.79183e+02
1.14933e+06,1.36718e+04,3.84110e+02
1.17465e+06,1.40680e+04,3.73387e+02
1.20246e+06,1.41635e+04,3.34478e+02
1.21315e+06,1.38911e+04,3.05069e+02
1.21508e+06,1.35469e+04,2.87901e+02
1.24165e+06,1.35074e+04,2.63440e+02
1.27573e+06,1.33755e+04,2.37142e+02
1.32829e+06,1.35145e+04,2.35527e+02
1.36336e+06,1.38270e+04,2.50855e+02
1.39017e+06,1.41733e+04,2.69052e+02
1.41529e+06,1.45414e+04,2.87805e+02
1.44541e+06,1.49308e+04,3.03876e+02
1.49310e+06,1.52728e+04,3.03925e+02
1.54530e+06,1.52442e+04,2.77332e+02
1.59677e+06,1.50836e+04,2.53343e+02
1.66779e+06,1.49789e+04,2.41241e+02
1.74992e+06,1.49565e+04,2.38991e+02
1.80053e+06,1.49572e+04,2.38958e+02
1.85271e+06,1.49596e+04,2.39016e+02
1.90649e+06,1.49604e+04,2.38961e+02
1.96169e+06,1.49606e+04,2.38874e+02
2.01808e+06,1.49607e+04,2.38775e+02
2.07701e+06,1.49597e+04,2.38640e+02
2.13661e+06,1.49586e+04,2.38506e+02
2.19905e+06,1.49573e+04,2.38398e+02
2.26195e+06,1.49561e+04,2.38294e+02
2.32834e+06,1.49549e+04,2.38217e+02
2.39474e+06,1.49537e+04,2.38141e+02
2.46509e+06,1.49522e+04,2.38075e+02
2.53623e+06,1.49507e+04,2.38011e+02
2.60894e+06,1.49491e+04,2.37952e+02
2.68578e+06,1.49474e+04,2.37907e+02
